# 116 angles,  1 tensor ranks for 0=projectile
@subtitle   "alpha+28Si elastic Scattering at 28 MeV"                                       
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@xaxis label "Scattering angle (degrees)"
@yaxis label "Cross section (mb/sr)"
@legend string   0 "Partition=  1 Excit=  1 near/far= 1"
#legend string   0 "Lab energy =   28.0000"
@s0 linestyle   1
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   5.000       1.018    
   6.500      0.8701    
   8.000      0.7661    
   9.500      0.7485    
   11.00      0.7734    
   12.50      0.7717    
   14.00      0.7010    
   15.50      0.5653    
   17.00      0.4061    
   18.50      0.2776    
   20.00      0.2201    
   21.50      0.2433    
   23.00      0.3243    
   24.50      0.4189    
   26.00      0.4805    
   27.50      0.4780    
   29.00      0.4067    
   30.50      0.2887    
   32.00      0.1628    
   33.50      0.6949E-01
   35.00      0.3661E-01
   36.50      0.7002E-01
   38.00      0.1530    
   39.50      0.2532    
   41.00      0.3346    
   42.50      0.3694    
   44.00      0.3466    
   45.50      0.2741    
   47.00      0.1754    
   48.50      0.8073E-01
   50.00      0.1721E-01
   51.50      0.8492E-03
   53.00      0.3228E-01
   54.50      0.9755E-01
   56.00      0.1733    
   57.50      0.2343    
   59.00      0.2616    
   60.50      0.2474    
   62.00      0.1973    
   63.50      0.1277    
   65.00      0.6067E-01
   66.50      0.1660E-01
   68.00      0.8496E-02
   69.50      0.3811E-01
   71.00      0.9583E-01
   72.50      0.1639    
   74.00      0.2219    
   75.50      0.2529    
   77.00      0.2481    
   78.50      0.2094    
   80.00      0.1482    
   81.50      0.8214E-01
   83.00      0.2975E-01
   84.50      0.5482E-02
   86.00      0.1590E-01
   87.50      0.5826E-01
   89.00      0.1216    
   90.50      0.1899    
   92.00      0.2464    
   93.50      0.2776    
   95.00      0.2766    
   96.50      0.2442    
   98.00      0.1883    
   99.50      0.1221    
   101.0      0.6051E-01
   102.5      0.1687E-01
   104.0      0.4296E-03
   105.5      0.1438E-01
   107.0      0.5547E-01
   108.5      0.1149    
   110.0      0.1804    
   111.5      0.2387    
   113.0      0.2781    
   114.5      0.2911    
   116.0      0.2755    
   117.5      0.2350    
   119.0      0.1779    
   120.5      0.1154    
   122.0      0.5951E-01
   123.5      0.1993E-01
   125.0      0.2532E-02
   126.5      0.8295E-02
   128.0      0.3350E-01
   129.5      0.7099E-01
   131.0      0.1121    
   132.5      0.1489    
   134.0      0.1755    
   135.5      0.1892    
   137.0      0.1901    
   138.5      0.1804    
   140.0      0.1632    
   141.5      0.1412    
   143.0      0.1163    
   144.5      0.8966E-01
   146.0      0.6254E-01
   147.5      0.3694E-01
   149.0      0.1616E-01
   150.5      0.4584E-02
   152.0      0.6611E-02
   153.5      0.2512E-01
   155.0      0.5984E-01
   156.5      0.1064    
   158.0      0.1567    
   159.5      0.2001    
   161.0      0.2263    
   162.5      0.2286    
   164.0      0.2056    
   165.5      0.1629    
   167.0      0.1118    
   168.5      0.6691E-01
   170.0      0.4191E-01
   171.5      0.4588E-01
   173.0      0.8034E-01
   174.5      0.1384    
   176.0      0.2065    
   177.5      0.2675    
 END
