# 116 angles,  1 tensor ranks for 0=projectile
@subtitle   "alpha+28Si elastic Scattering at 28 MeV"                                       
@legend ON
@legend x1 0.2
@legend y1 0.8
@g0 type LOGY
@xaxis label "Scattering angle (degrees)"
@yaxis label "Cross section (mb/sr)"
@legend string   0 "Partition=  1 Excit=  1 near/far= 1"
#legend string   0 "Lab energy =   28.0000"
@s0 linestyle   1
#  Theta       sigma       iT11        T20         T21         T22         Kyy for projectile
   5.000       1.007    
   6.500      0.8647    
   8.000      0.7738    
   9.500      0.7668    
   11.00      0.7935    
   12.50      0.7852    
   14.00      0.7048    
   15.50      0.5629    
   17.00      0.4057    
   18.50      0.2884    
   20.00      0.2483    
   21.50      0.2895    
   23.00      0.3827    
   24.50      0.4794    
   26.00      0.5318    
   27.50      0.5114    
   29.00      0.4191    
   30.50      0.2835    
   32.00      0.1491    
   33.50      0.5926E-01
   35.00      0.4084E-01
   36.50      0.9569E-01
   38.00      0.2011    
   39.50      0.3189    
   41.00      0.4087    
   42.50      0.4414    
   44.00      0.4076    
   45.50      0.3193    
   47.00      0.2046    
   48.50      0.9743E-01
   50.00      0.2707E-01
   51.50      0.9076E-02
   53.00      0.4175E-01
   54.50      0.1080    
   56.00      0.1821    
   57.50      0.2381    
   59.00      0.2584    
   60.50      0.2388    
   62.00      0.1892    
   63.50      0.1291    
   65.00      0.8139E-01
   66.50      0.6426E-01
   68.00      0.8525E-01
   69.50      0.1389    
   71.00      0.2088    
   72.50      0.2726    
   74.00      0.3097    
   75.50      0.3074    
   77.00      0.2655    
   78.50      0.1960    
   80.00      0.1200    
   81.50      0.6149E-01
   83.00      0.4007E-01
   84.50      0.6578E-01
   86.00      0.1361    
   87.50      0.2364    
   89.00      0.3444    
   90.50      0.4352    
   92.00      0.4876    
   93.50      0.4892    
   95.00      0.4391    
   96.50      0.3477    
   98.00      0.2344    
   99.50      0.1235    
   101.0      0.3926E-01
   102.5      0.1110E-02
   104.0      0.1991E-01
   105.5      0.9575E-01
   107.0      0.2177    
   108.5      0.3653    
   110.0      0.5125    
   111.5      0.6319    
   113.0      0.7004    
   114.5      0.7041    
   116.0      0.6413    
   117.5      0.5238    
   119.0      0.3743    
   120.5      0.2221    
   122.0      0.9657E-01
   123.5      0.2071E-01
   125.0      0.6051E-02
   126.5      0.5049E-01
   128.0      0.1395    
   129.5      0.2505    
   131.0      0.3590    
   132.5      0.4449    
   134.0      0.4965    
   135.5      0.5120    
   137.0      0.4978    
   138.5      0.4641    
   140.0      0.4205    
   141.5      0.3722    
   143.0      0.3197    
   144.5      0.2604    
   146.0      0.1930    
   147.5      0.1213    
   149.0      0.5691E-01
   150.5      0.1776E-01
   152.0      0.2378E-01
   153.5      0.8959E-01
   155.0      0.2174    
   156.5      0.3925    
   158.0      0.5840    
   159.5      0.7509    
   161.0      0.8525    
   162.5      0.8613    
   164.0      0.7725    
   165.5      0.6080    
   167.0      0.4138    
   168.5      0.2479    
   170.0      0.1652    
   171.5      0.2014    
   173.0      0.3613    
   174.5      0.6156    
   176.0      0.9074    
   177.5       1.167    
 END
